timestamp,itemId,pricePerUnit,quantity,hq
1788624734,6591,15183,1,0
1788625198,6559,44000,1,0
1788629175,24511,29984,1,0
1788629179,24512,14000,1,0
1788629180,24512,14000,1,0
1788630461,24511,29989,1,0
1788630462,24511,29990,1,0
1788630463,24511,29990,1,0
1788630464,24511,30000,1,0
1788630466,24511,30000,1,0
1788630467,24511,30000,1,0
1788630468,24511,30000,1,0
1788631580,7998,79795,1,0
1788634129,6620,30000,1,0
1788639522,8805,19997,1,0
1788639523,8805,19997,1,0
1788639525,8805,20060,1,0
1788639526,8805,28060,1,0
1788639527,8805,30060,1,0
1788640098,7084,6750,1,0
1788641440,6379,7290,1,0
1788641585,6645,5000,1,0
1788641588,6645,5000,1,0
1788641607,24512,15798,1,0
1788641909,6535,74000,1,0
1788642803,6603,12800,1,0
1788644947,6559,44000,1,0
1788645102,6548,10000,1,0
1788645103,6548,19999,1,0
1788645442,8797,10000,1,0
1788645492,23879,25000,1,0
1788645520,27296,10000,1,0
1788645522,27296,18995,1,0
1788645523,27296,18995,1,0
1788645526,27296,18995,1,0
1788645794,24515,1150,1,0
1788646190,8797,20000,1,0
1788646989,6637,10000,1,0
1788647717,23893,87000,1,0
1788647718,23893,87090,1,0
1788647719,23893,87090,1,0
1788647720,23893,87090,1,0
1788647721,23893,87090,1,0
1788647722,23893,87090,1,0
1788647723,23893,87090,1,0
1788647725,23893,87095,1,0
1788647726,23893,87095,1,0
1788647727,23893,87095,1,0
1788647729,23893,87107,1,0
1788647730,23893,87108,1,0
1788647733,23894,29978,1,0
1788647734,23894,29978,1,0
1788647735,23894,29979,1,0
1788647736,23894,29979,1,0
1788647737,23894,29979,1,0
1788647738,23894,29979,1,0
1788647739,23894,29987,1,0
1788647740,23894,29987,1,0
1788647741,23894,29987,1,0
1788647743,23894,29987,1,0
1788647744,23894,29987,1,0
1788647745,23894,29990,1,0
1788647746,23894,29990,1,0
1788647797,6670,83895,1,0
1788647798,6670,83895,1,0
1788647799,6670,83895,1,0
1788647800,6670,83895,1,0
1788647801,6670,83895,1,0
1788647804,6670,83895,1,0
1788648660,7963,34997,1,0
1788648662,7963,34998,1,0
1788654664,6621,10000,1,0
1788656838,13075,9998,1,0
1788658737,7970,18988,1,0
1788658738,7970,18988,1,0
1788659060,24526,30000,1,0
1788661739,14181,495,1,0
1788662325,6588,50000,1,0
1788666368,6559,44000,1,0
1788666370,6559,44000,1,0
1788667501,7978,88000,1,0
1788667502,7978,88999,1,0
1788667504,7978,89000,1,0
1788667505,7978,100000,1,0
1788667605,7998,79794,1,0
1788667607,7998,79795,1,0
1788667615,7999,43994,1,0
1788669367,27296,18995,1,0
1788669369,27296,18995,1,0
1788669371,27296,18995,1,0
1788670384,24511,28999,1,0
1788670385,24511,28999,1,0
1788670386,24511,28999,1,0
1788670387,24511,28999,1,0
1788670388,24511,28999,1,0
1788670389,24511,28999,1,0
1788670390,24511,29000,1,0
1788670391,24511,29000,1,0
1788671735,13075,9997,1,0
1788671755,8797,20000,1,0
1788672360,24514,25990,1,0
1788672361,24514,25990,1,0
1788672362,24514,25990,1,0
1788672363,24514,25990,1,0
1788672364,24514,25990,1,0
1788672365,24514,25990,1,0
1788672367,24514,25990,1,0
1788672368,24514,25990,1,0
1788672413,24514,25990,1,0
1788672415,24514,25990,1,0
1788672416,24514,25990,1,0
1788672417,24514,25990,1,0
1788672418,24514,25990,1,0
1788672419,24514,25990,1,0
1788672420,24514,25990,1,0
1788672421,24514,25990,1,0
1788672422,24514,25990,1,0
1788672698,7970,18989,1,0
1788673386,24524,2000,1,0
1788673659,6509,66,1,0
1788673660,6509,67,1,0
1788673908,6645,5000,1,0
1788673909,6645,5000,1,0
1788674860,8813,19999,1,0
1788676594,9749,25000,1,0
1788677720,24515,2500,1,0
1788677883,7963,33550,1,0
1788678583,8811,74999,1,0
1788678677,15970,28889,1,0
1788678678,15970,28890,1,0
1788678679,15970,30000,1,0
1788678680,15970,44000,1,0
1788678689,23893,87983,1,0
1788678690,23893,87983,1,0
1788678733,24513,33999,1,0
1788678734,24513,34000,1,0
1788678757,27274,14985,1,0
1788678758,27274,14985,1,0
1788679048,7963,35150,1,0
1788685202,7963,35150,1,0
1788686589,6646,45000,1,0
1788686590,6646,45000,1,0
1788686593,6646,45000,1,0
1788686594,6646,45000,1,0
1788694045,7979,29989,1,0
1788699292,24525,38993,1,0
1788699960,6586,173998,1,0
1788708419,12095,10000,1,0
1788709108,14181,495,4,0
1788709534,14181,1200,2,0
1788716152,27297,32697,1,0
1788717916,6402,950,1,0
1788717952,6426,990,1,0
1788718555,6475,97998,1,0
1788719229,7998,79794,1,0
1788719231,7998,79795,1,0
1788722115,24525,38993,1,0
1788723574,7139,27500,1,0
1788724579,6590,200000,1,0
1788724584,7139,27777,1,0
1788727329,6591,15182,1,0
